City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Greeley,CO,24540,5221,5349,5458,5795,6260,6653,7172,7302,7197,7238,7388,7806,8592,-1.4,0.6,2.1,5.7,10.1,2
Green Bay,WI,24580,11622,11896,12495,13206,13675,14145,14578,14902,14691,15174,15443,15659,15991,-1.4,3.3,1.8,1.4,2.1,146
Greensboro-High Point,NC,24660,26701,27293,27917,28861,30483,32303,32972,34385,33116,33928,34414,34984,35530,-3.7,2.5,1.4,1.7,1.6,183
Greenville,NC,24780,4123,4292,4458,4524,4835,5200,5667,6057,6105,6163,6294,6693,6639,0.8,1,2.1,6.3,-0.8,327
Greenville-Anderson-Mauldin,SC,24860,24746,25068,26187,25656,27091,28136,29838,31461,29880,30837,32162,32377,32841,-5,3.2,4.3,0.7,1.4,189
Gulfport-Biloxi-Pascagoula,MS,25060,10535,10572,11660,11743,13246,13940,15106,15935,15293,15071,14189,14197,14768,-4,-1.5,-5.9,0.1,4,53
Hagerstown-Martinsburg,MD-WV,25180,5572,5815,6071,6462,6970,7453,7472,7702,7478,7567,7745,7858,7850,-2.9,1.2,2.4,1.5,-0.1,298
Hammond,LA,25220,1728,1831,1992,2241,2572,3282,3276,3385,3265,3537,3487,3296,3362,-3.5,8.4,-1.4,-5.5,2,155
Hanford-Corcoran,CA,25260,2743,2964,3431,3852,4013,4102,4748,4660,4276,4379,4581,4491,4662,-8.2,2.4,4.6,-2,3.8,62
Harrisburg-Carlisle,PA,25420,21880,22483,23390,24830,25849,27184,28355,29093,28841,28955,29199,29559,29957,-0.9,0.4,0.8,1.2,1.3,195
Harrisonburg,VA,25500,4789,4535,4687,4785,5070,5341,5640,5948,6262,6747,6654,6667,6664,5.3,7.8,-1.4,0.2,0,295
Hartford-West Hartford-East Hartford,CT,25540,59859,59140,61261,67439,71114,75816,82272,84612,83284,82480,79925,80397,81261,-1.6,-1,-3.1,0.6,1.1,213
Hattiesburg,MS,25620,3100,3284,3461,3701,3902,4323,4538,4783,4808,4863,4868,5058,5107,0.5,1.1,0.1,3.9,1,217
Hickory-Lenoir-Morganton,NC,25860,10455,10596,10394,10947,11234,11977,11588,11872,11262,11555,11536,11595,11689,-5.1,2.6,-0.2,0.5,0.8,231
Hilton Head Island-Bluffton-Beaufort,SC,25940,5410,5866,6254,6706,7197,7783,8237,7914,7491,7337,7144,7226,7264,-5.3,-2.1,-2.6,1.1,0.5,255
Hinesville,GA,25980,1704,1765,2002,2157,2413,2550,2726,3081,3141,3353,3479,3396,3254,2,6.7,3.8,-2.4,-4.2,378
Homosassa Springs,FL,26100,2090,2177,2375,2495,2815,3028,3134,3110,3185,3276,3159,3081,3065,2.4,2.8,-3.6,-2.5,-0.5,318
